pidlink,kw03,kw04
032300006,2.0,4:Family
032304202,,
033010009,1.0,3:Self
033014103,2.0,3:Self
033031102,,
033040003,,
033050005,1.0,3:Self
033060008,,
033065102,1.0,3:Self
033065202,1.0,3:Self
033070002,,
033080003,,
033080011,,
033090002,,
033090003,1.0,3:Self
033094102,,
033100007,1.0,1:Parent
033110003,,
033110004,1.0,
033120005,1.0,3:Self
033124102,,
033140002,,
033140006,2.0,3:Self
033140007,2.0,
033150003,,
033160006,1.0,
033165102,1.0,3:Self
033170002,,
033170003,1.0,3:Self
033170004,1.0,3:Self
033180006,,
033190003,,
033200002,,
033200003,1.0,3:Self
033210002,1.0,
033210005,1.0,3:Self
033214202,,
033220004,1.0,3:Self
033220005,1.0,3:Self
033220011,1.0,3:Self
033230006,1.0,3:Self
033230009,,
033234102,2.0,3:Self
033235202,1.0,3:Self
033240002,1.0,
033240003,,
033250004,,
033250007,1.0,3:Self
033250008,,
033254102,,
033254202,1.0,
033260005,,
033263102,,
033270003,,
033270004,,
033270005,,
033280002,,
033280005,,
033284102,1.0,3:Self
033285102,1.0,3:Self
033290006,3.0,3:Self
033290009,,
033295102,2.0,3:Self
033300003,,
033300005,1.0,
033300006,,
033300009,2.0,3:Self
033301202,,
034020006,,
034030002,,
034030006,,
034030007,,
034030008,2.0,3:Self
034030009,1.0,3:Self
034034102,,
034035102,1.0,3:Self
034035502,1.0,3:Self
034040005,,
034040006,1.0,3:Self
034045102,1.0,3:Self
034050002,1.0,
034060002,,
034060004,,
034080006,,
034080009,1.0,3:Self
034080010,1.0,3:Self
034090003,1.0,3:Self
034095102,1.0,3:Self
034100005,,
034100006,2.0,4:Family
034100007,,
034110004,,
034110005,1.0,3:Self
034120004,1.0,
034130002,1.0,
034130008,,
034150003,,
034150004,1.0,1:Parent
034154102,,
034160016,,
034163202,,
034164102,,
034180002,,
034190003,,
034190004,,
034200002,,
034200004,,
034200006,1.0,3:Self
034204102,,
035010002,1.0,3:Self
035010004,1.0,3:Self
035033102,,
035040003,,
035040006,1.0,1:Parent
035050002,1.0,
035050003,2.0,3:Self
035050005,1.0,3:Self
035060002,,
035060006,1.0,3:Self
035070003,,
035080005,2.0,3:Self
035080009,1.0,3:Self
035083102,,
035084102,,
035090002,,
035090004,1.0,3:Self
035095102,1.0,3:Self
035100010,1.0,3:Self
035120002,,
035130003,,
035130005,1.0,3:Self
035150002,,
035150003,1.0,3:Self
035160003,1.0,3:Self
035165104,1.0,3:Self
035190006,1.0,3:Self
035200003,,
035200005,1.0,3:Self
035200007,,
035200008,1.0,4:Family
035204202,,
035410007,,
035415202,1.0,3:Self
035430007,,
035433102,,
035433202,,
035434102,,
035435102,1.0,3:Self
035440004,,
035440006,,
035440007,1.0,3:Self
035444102,,
035450002,,
035450006,,
036010005,2.0,4:Family
036020002,,
036023102,,
036030005,1.0,3:Self
036030006,2.0,3:Self
036035102,1.0,4:Family
036040003,,
036044102,,
036045102,1.0,3:Self
036050002,,
036080002,,
036080003,1.0,3:Self
036090003,,
036095102,1.0,3:Self
036100006,,
036100008,,
036104202,,
036110003,,
036110004,,
036110006,1.0,
036113202,,
036120002,,
036125102,1.0,3:Self
036130002,,
036140002,,
036144102,1.0,3:Self
036190002,,
036190003,1.0,3:Self
036190005,1.0,3:Self
036200004,,
036200005,,
037010002,,
037020003,1.0,3:Self
037020005,1.0,3:Self
037024102,,
037034302,1.0,3:Self
037060002,,
037060003,1.0,
037070006,,
037075102,1.0,4:Family
037080002,,
037080004,,
037080005,1.0,3:Self
037090002,,
037090003,1.0,3:Self
037100004,,
037100009,,
037110002,,
037110003,,
037110004,,
037120003,,
037120004,2.0,3:Self
037120007,,
037124102,,
037170003,,
037180002,,
037185102,1.0,3:Self
037185202,1.0,3:Self
037190001,2.0,
037190006,,
037190007,1.0,3:Self
037193105,,
038010004,,
038010006,,
038010007,1.0,3:Self
038013102,,
038020003,,
038030005,1.0,3:Self
038034102,,
038040005,,
038060002,1.0,
038060005,1.0,3:Self
038090003,,
038100005,1.0,3:Self
038104102,1.0,3:Self
038110002,,
038110003,1.0,3:Self
038114202,1.0,3:Self
038120003,,
038120009,,
038120014,,
038120015,1.0,3:Self
038125102,1.0,3:Self
038130005,,
038134102,1.0,3:Self
038140004,,
038140005,,
038140006,1.0,3:Self
038140014,1.0,3:Self
038144102,1.0,3:Self
038150003,,
038160002,,
038164102,1.0,3:Self
038170002,,
038170005,,
038180004,1.0,3:Self
038180012,1.0,3:Self
038184102,,
038190001,,
038190003,1.0,3:Self
038195102,1.0,3:Self
038200004,1.0,3:Self
038205102,1.0,3:Self
038205202,1.0,3:Self
038205302,1.0,3:Self
039010003,,
039010004,,
039015102,1.0,3:Self
039020003,1.0,3:Self
039031107,,
039054102,,
039055102,2.0,3:Self
039063104,1.0,3:Self
039070002,,
039070003,1.0,3:Self
039080003,,
039080004,1.0,3:Self
039090002,1.0,3:Self
039100002,,
039100004,,
039100005,,
039100006,1.0,3:Self
039100007,1.0,3:Self
039110003,,
039110006,,
039115102,1.0,3:Self
039130002,,
039140002,,
039140006,1.0,3:Self
039150004,,
039150006,,
039160007,1.0,3:Self
039170002,,
039170004,1.0,3:Self
039180002,,
039180004,,
039200002,,
039204202,2.0,3:Self
040010002,1.0,
040010008,1.0,3:Self
040020003,,
040020005,,
040023202,,
040030003,1.0,
040030007,1.0,3:Self
040034202,,
040050002,,
040050003,1.0,3:Self
040060002,,
040060004,1.0,3:Self
040070001,2.0,
040070002,1.0,3:Self
040080002,2.0,3:Self
040100002,,
040100003,,
040110002,1.0,
040140010,,
040143111,,
040150002,,
040150004,,
040150009,,
040170002,,
040180003,,
040183102,,
040190002,2.0,3:Self
