pidlink,sex,age,age_squared,education,urban,monthly_income,log_income,marstat,ever_married,is_divorced,is_jawa,is_sunda,pwt14xa
002200001,Male,54.0,2916.0,15.0,0,2000000.0,14.508658238524095,Married,1,0,0,0,1.425906777381897
002200003,Male,25.0,625.0,16.0,0,2000000.0,14.508658238524095,Never Married,0,0,0,0,0.6690118908882141
002250004,Male,28.0,784.0,12.0,0,3000000.0,14.914123179965662,Married,1,0,0,0,0.6690118908882141
002250005,Male,26.0,676.0,15.0,0,1400000.0,14.151983508870947,Never Married,0,0,0,0,0.6690118908882141
002250010,Female,25.0,625.0,15.0,0,1400000.0,14.151983508870947,Married,1,0,0,0,0.7601195573806763
002260008,Male,22.0,484.0,9.0,0,120000.0,11.695255355062795,Married,1,0,0,0,1.4178136587142944
002290007,Male,45.0,2025.0,6.0,0,2000000.0,14.508658238524095,Widowed,1,0,0,0,1.4407862424850464
003010009,Male,19.0,361.0,12.0,0,350000.0,12.765691290604371,Never Married,0,0,0,0,0.9747853875160217
003015102,Male,28.0,784.0,9.0,0,520000.0,13.161586013632684,Married,1,0,0,0,0.6690118908882141
003015202,Male,27.0,729.0,9.0,0,1200000.0,13.997832948091215,Married,1,0,0,0,0.6690118908882141
003020001,Male,47.0,2209.0,6.0,0,1800000.0,14.403297778421795,Married,1,0,1,0,1.4407862424850464
003020003,Male,29.0,841.0,12.0,0,1200000.0,13.997832948091215,Married,1,0,0,0,0.6690118908882141
003020004,Male,27.0,729.0,9.0,0,1000000.0,13.815511557963774,Never Married,0,0,1,0,0.6690118908882141
003020006,Male,22.0,484.0,9.0,0,600000.0,13.304686600863562,Never Married,0,0,0,0,1.4178136587142944
003020007,Male,20.0,400.0,9.0,0,500000.0,13.122365377402328,Never Married,0,0,0,0,1.4178136587142944
