pidlink,marstat,age,sex
008100001,2:Married,64.0,1:Male
008100002,2:Married,58.0,3:Female
008100005,2:Married,32.0,1:Male
008100006,2:Married,31.0,3:Female
008110001,2:Married,55.0,1:Male
008110002,2:Married,52.0,3:Female
008110003,2:Married,29.0,1:Male
008110005,2:Married,23.0,3:Female
008110007,2:Married,19.0,3:Female
008110009,2:Married,21.0,1:Male
008115102,2:Married,23.0,3:Female
008115201,2:Married,25.0,1:Male
008120001,2:Married,57.0,1:Male
008120002,2:Married,54.0,3:Female
008120004,2:Married,26.0,1:Male
008120005,2:Married,24.0,3:Female
008120006,2:Married,22.0,3:Female
008125102,2:Married,27.0,3:Female
008125201,2:Married,28.0,1:Male
008125301,2:Married,25.0,1:Male
008130001,2:Married,49.0,1:Male
008130002,2:Married,49.0,3:Female
008130004,2:Married,25.0,3:Female
008130005,2:Married,17.0,3:Female
008130006,2:Married,28.0,1:Male
008140001,2:Married,62.0,1:Male
008140002,2:Married,51.0,3:Female
008140003,2:Married,38.0,1:Male
008140005,2:Married,31.0,3:Female
008140006,2:Married,25.0,1:Male
008144102,2:Married,29.0,3:Female
008144201,2:Married,34.0,1:Male
008145102,2:Married,22.0,3:Female
008150002,5:Widowed,54.0,3:Female
008150003,2:Married,38.0,3:Female
008150004,2:Married,34.0,3:Female
008150005,2:Married,28.0,3:Female
008150006,3:Separated,24.0,1:Male
008150008,2:Married,23.0,3:Female
008153101,2:Married,43.0,1:Male
008153201,2:Married,37.0,1:Male
008155101,2:Married,32.0,1:Male
008155201,2:Married,29.0,1:Male
008160002,2:Married,46.0,1:Male
008160004,2:Married,42.0,3:Female
008170001,2:Married,87.0,1:Male
008170002,2:Married,79.0,3:Female
008170003,2:Married,38.0,3:Female
008170004,2:Married,32.0,1:Male
008170005,2:Married,43.0,1:Male
008170006,2:Married,33.0,3:Female
008190001,5:Widowed,86.0,3:Female
008190003,2:Married,40.0,3:Female
008190004,2:Married,46.0,1:Male
008200001,4:Divorced,64.0,1:Male
008200002,2:Married,53.0,3:Female
008200003,2:Married,27.0,3:Female
008200005,2:Married,20.0,3:Female
008200007,2:Married,57.0,1:Male
008204101,2:Married,33.0,1:Male
008205202,2:Married,49.0,1:Male
008210004,2:Married,28.0,3:Female
008210010,2:Married,30.0,1:Male
008220001,2:Married,49.0,1:Male
008220002,2:Married,48.0,3:Female
008220003,2:Married,29.0,1:Male
008220004,2:Married,27.0,3:Female
008220005,2:Married,24.0,1:Male
008220006,2:Married,20.0,3:Female
008225201,2:Married,29.0,1:Male
008225302,2:Married,23.0,3:Female
008230001,5:Widowed,72.0,1:Male
008230003,2:Married,37.0,1:Male
008234102,2:Married,39.0,3:Female
008240001,2:Married,72.0,1:Male
008240002,2:Married,64.0,3:Female
008240004,2:Married,38.0,3:Female
008240005,2:Married,37.0,1:Male
008240006,2:Married,30.0,3:Female
008240007,2:Married,35.0,3:Female
008243101,2:Married,39.0,1:Male
008244101,2:Married,34.0,1:Male
008250001,5:Widowed,69.0,3:Female
008250002,2:Married,42.0,3:Female
008250003,2:Married,43.0,1:Male
008254101,2:Married,43.0,1:Male
008260002,5:Widowed,76.0,3:Female
008260003,4:Divorced,46.0,1:Male
008260005,2:Married,34.0,3:Female
008265101,2:Married,38.0,1:Male
008270001,2:Married,64.0,1:Male
008270002,2:Married,56.0,3:Female
008270004,2:Married,32.0,3:Female
008270005,2:Married,31.0,3:Female
008270006,2:Married,29.0,1:Male
008270007,2:Married,26.0,3:Female
008270008,2:Married,23.0,3:Female
008273106,2:Married,26.0,1:Male
008274104,2:Married,26.0,3:Female
008274206,2:Married,26.0,1:Male
008275101,2:Married,29.0,1:Male
008275202,2:Married,28.0,1:Male
008280001,2:Married,50.0,1:Male
008280002,2:Married,44.0,3:Female
008280003,2:Married,24.0,3:Female
008280007,2:Married,19.0,3:Female
008285101,2:Married,32.0,1:Male
008285203,2:Married,26.0,1:Male
008290001,2:Married,64.0,1:Male
008290002,2:Married,60.0,3:Female
008290003,2:Married,40.0,1:Male
008290004,2:Married,39.0,3:Female
008290005,2:Married,35.0,3:Female
008290006,2:Married,33.0,1:Male
008290008,2:Married,26.0,3:Female
008293101,2:Married,47.0,1:Male
008294101,2:Married,43.0,1:Male
008294202,2:Married,35.0,3:Female
008295102,2:Married,41.0,3:Female
